Date,Week,Weekly Sales (Million),Log of Weekly Sales (Million),Square Root of Weekly Sales (Million),Holiday,t,Dataset
2010-01-08,1,39.71741383,3.6817897270370814,6.302175325234931,,0,Train
2010-01-15,2,41.367822295,3.7225033393730325,6.43178220208054,,1,Train
2010-01-22,3,41.34837826,3.7220332008698693,6.4302704655403105,,2,Train
2010-01-29,4,43.86560486,3.7811305246110045,6.623111418359199,,3,Train
2010-02-05,5,49.7507405,3.9070253479159405,7.053420482290844,,4,Train
2010-02-12,6,48.336677630000004,3.8781906437036127,6.952458387505819,Super Bowl,5,Train
2010-02-19,7,48.27699378,3.876955127927817,6.948164777838821,,6,Train
2010-02-26,8,43.96857113,3.783475086189828,6.630880117299664,,7,Train
2010-03-05,9,46.8714703,3.847409181188701,6.8462741911203056,,8,Train
2010-03-12,10,45.92539651,3.8270182649234714,6.776827909132709,,9,Train
2010-03-19,11,44.98897464,3.8064174517509564,6.707382100342875,,10,Train
2010-03-26,12,44.133961049999996,3.787229577920961,6.6433396006827765,,11,Train
2010-04-02,13,50.42383126,3.920463905782871,7.100973965590917,,12,Train
2010-04-09,14,47.365290439999995,3.8578896912626717,6.88224457862404,,13,Train
2010-04-16,15,45.18366708,3.8107356737487317,6.72187972817128,,14,Train
2010-04-23,16,44.73445256,3.8007439555266713,6.68838190895227,,15,Train
2010-04-30,17,43.70512671,3.777465411238865,6.610985305535023,,16,Train
2010-05-07,18,48.503243520000005,3.881630672408322,6.96442700586344,,17,Train
2010-05-14,19,45.330080200000005,3.8139708341989316,6.732761706758973,,18,Train
2010-05-21,20,45.12010806,3.809328002133744,6.717150293093046,,19,Train
2010-05-28,21,47.75750256,3.8661361762598143,6.910680325409358,,20,Train
2010-06-04,22,50.18854312,3.915786775949268,7.084387279080668,,21,Train
2010-06-11,23,47.826546719999996,3.8675808560474687,6.915673988845917,,22,Train
2010-06-18,24,47.622046229999995,3.8632958101061345,6.900872860008362,,23,Train
2010-06-25,25,46.60903629,3.841794434135712,6.827081095900356,,24,Train
2010-07-02,26,48.9174845,3.890134888810047,6.994103552278877,,25,Train
2010-07-09,27,47.899529369999996,3.869105679107641,6.920948588885775,,26,Train
2010-07-16,28,46.24389958,3.833929554285763,6.800286727778469,,27,Train
2010-07-23,29,44.88884911,3.8041894144611716,6.6999141121360655,,28,Train
2010-07-30,30,44.63036342,3.7984144215611955,6.680596037779863,,29,Train
2010-08-06,31,48.20499912,3.8754627318609756,6.9429820048736985,,30,Train
2010-08-13,32,46.46441841,3.838686824197943,6.81648138044842,,31,Train
2010-08-20,33,47.06095292,3.8514436321379812,6.860098608620724,,32,Train
2010-08-27,34,45.90974044,3.8266773045749245,6.775672692803276,,33,Train
2010-09-03,35,47.19425761,3.854272224385149,6.8698076836255035,,34,Train
2010-09-10,36,45.634397840000005,3.8206617707464714,6.755323666561063,Labor Day,35,Train
2010-09-17,37,43.08072651,3.763075716352117,6.563590976744361,,36,Train
2010-09-24,38,41.35851441,3.7222783110347786,6.4310585761599155,,37,Train
2010-10-01,39,42.23987587,3.743364700709976,6.499221174110017,,38,Train
2010-10-08,40,45.102974229999994,3.8089481917843058,6.715874792608926,,39,Train
2010-10-15,41,43.14947345,3.764670214673986,6.568825880627375,,40,Train
2010-10-22,42,43.066669520000005,3.7627493689342595,6.562520058636012,,41,Train
2010-10-29,43,43.602830950000005,3.775122078292996,6.60324397171572,,42,Train
2010-11-05,44,45.78198189,3.8238906051994235,6.766238385543329,,43,Train
2010-11-12,45,46.12480083,3.831350784302588,6.791524190489201,,44,Train
2010-11-19,46,45.12558418,3.809449362386423,6.717557902988258,,45,Train
2010-11-26,47,65.82100324,4.186938985574663,8.113014436077382,Thanksgiving,46,Train
2010-12-03,48,49.909027880000004,3.9102019058324027,7.064632182923609,,47,Train
2010-12-10,49,55.66677039,4.019383387040323,7.461016712888399,,48,Train
